index,field,pv,value,read-only
805,offset,SR09A-PC-Q1D-01:OFFSET1,0,True
65,offset,SR01A-PC-Q1B-10:OFFSET1,0,True
1595,offset,SR18A-PC-Q1B-01:OFFSET1,0,True
2015,offset,SR22A-PC-Q1B-10:OFFSET1,0,True
1797,offset,SR20A-PC-Q1B-01:OFFSET1,0,True
1646,offset,SR18A-PC-Q3B-08:OFFSET1,0,True
1142,offset,SR12A-PC-Q3D-08:OFFSET1,0,True
739,offset,SR08A-PC-Q3D-08:OFFSET1,0,True
1092,offset,SR12A-PC-Q1B-01:OFFSET1,0,True
256,offset,SR03A-PC-Q3B-03:OFFSET1,0,True
1445,offset,SR16A-PC-Q1B-01:OFFSET1,0,True
2033,offset,SR23A-PC-Q1B-01:OFFSET1,0,True
1294,offset,SR14A-PC-Q3B-03:OFFSET1,0,True
1496,offset,SR16A-PC-Q3D-08:OFFSET1,0,True
572,offset,SR06A-PC-Q2B-09:OFFSET1,0,True
925,offset,SR10A-PC-Q2B-02:OFFSET1,0,True
248,offset,SR03A-PC-Q1B-01:OFFSET1,0,True
254,offset,SR03A-PC-Q2B-02:OFFSET1,0,True
406,offset,SR04A-PC-Q1D-10:OFFSET1,0,True
1515,offset,SR17A-PC-Q1D-01:OFFSET1,0,True
2187,offset,SR24A-PC-Q1D-10:OFFSET1,0,True
927,offset,SR10A-PC-Q3B-03:OFFSET1,0,True
1011,offset,SR11A-PC-Q1B-01:OFFSET1,0,True
1146,offset,SR12A-PC-Q2D-09:OFFSET1,0,True
1650,offset,SR18A-PC-Q2B-09:OFFSET1,0,True
346,offset,SR04A-PC-Q1B-01:OFFSET1,0,True
743,offset,SR08A-PC-Q2D-09:OFFSET1,0,True
1415,offset,SR15A-PC-Q3B-08:OFFSET1,0,True
1214,offset,SR13A-PC-Q2D-02:OFFSET1,0,True
811,offset,SR09A-PC-Q2D-02:OFFSET1,0,True
1500,offset,SR16A-PC-Q2D-09:OFFSET1,0,True
1601,offset,SR18A-PC-Q2B-02:OFFSET1,0,True
610,offset,SR07A-PC-Q1B-01:OFFSET1,0,True
1954,offset,SR22A-PC-Q1B-01:OFFSET1,0,True
1803,offset,SR20A-PC-Q2B-02:OFFSET1,0,True
354,offset,SR04A-PC-Q3B-03:OFFSET1,0,True
2005,offset,SR22A-PC-Q3B-08:OFFSET1,0,True
1098,offset,SR12A-PC-Q2B-02:OFFSET1,0,True
1451,offset,SR16A-PC-Q2B-02:OFFSET1,0,True
2039,offset,SR23A-PC-Q2B-02:OFFSET1,0,True
1216,offset,SR13A-PC-Q3D-03:OFFSET1,0,True
813,offset,SR09A-PC-Q3D-03:OFFSET1,0,True
477,offset,SR05A-PC-Q3B-08:OFFSET1,0,True
578,offset,SR06A-PC-Q1B-10:OFFSET1,0,True
1603,offset,SR18A-PC-Q3B-03:OFFSET1,0,True
1805,offset,SR20A-PC-Q3B-03:OFFSET1,0,True
1419,offset,SR15A-PC-Q2B-09:OFFSET1,0,True
1100,offset,SR12A-PC-Q3B-03:OFFSET1,0,True
