pv,upper,lower,precision,drive high,drive low
SR02C-DI-EBPM-01:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-01:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-02:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-02:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-03:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-03:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-04:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-04:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-05:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-05:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-06:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-06:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-07:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-07:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-08:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-08:SA:Y,10,-10,4,10,-10
SR02I-PC-HSTR-11:I,5,-5,3,5,-5
SR02I-PC-HSTR-11:SETI,0,0,4,5,-5
SR02I-PC-HSTR-12:I,5,-5,3,5,-5
SR02I-PC-HSTR-12:SETI,0,0,4,5,-5
SR02I-PC-VSTR-11:I,5,-5,3,5,-5
SR02I-PC-VSTR-11:SETI,0,0,4,5,-5
SR02I-PC-VSTR-12:I,5,-5,3,5,-5
SR02I-PC-VSTR-12:SETI,0,0,4,5,-5
SR02J-PC-HSTR-11:I,5,-5,3,5,-5
SR02J-PC-HSTR-11:SETI,0,0,4,5,-5
SR02J-PC-HSTR-12:I,5,-5,3,5,-5
SR02J-PC-HSTR-12:SETI,0,0,4,5,-5
SR02J-PC-VSTR-11:I,5,-5,3,5,-5
SR02J-PC-VSTR-11:SETI,0,0,4,5,-5
SR02J-PC-VSTR-12:I,5,-5,3,5,-5
SR02J-PC-VSTR-12:SETI,0,0,4,5,-5
SR03A-PC-HSTR-01:I,5,-5,3,5,-5
SR03A-PC-HSTR-01:SETI,0,0,4,5,-5
SR03A-PC-HSTR-02:I,5,-5,3,5,-5
SR03A-PC-HSTR-02:SETI,0,0,4,5,-5
SR03A-PC-HSTR-03:I,5,-5,3,5,-5
SR03A-PC-HSTR-03:SETI,0,0,4,5,-5
SR03A-PC-HSTR-04:I,5,-5,3,5,-5
SR03A-PC-HSTR-04:SETI,0,0,4,5,-5
SR03A-PC-HSTR-05:I,5,-5,3,5,-5
SR03A-PC-HSTR-05:SETI,0,0,4,5,-5
SR03A-PC-HSTR-06:I,5,-5,3,5,-5
SR03A-PC-HSTR-06:SETI,0,0,4,5,-5
SR03A-PC-HSTR-07:I,5,-5,3,5,-5
SR03A-PC-HSTR-07:SETI,0,0,4,5,-5
SR03A-PC-Q1AB-05:I,200,0,3,200,0
SR03A-PC-Q1AB-05:SETI,0,0,4,200,0
SR03A-PC-Q1AB-06:I,200,0,3,200,0
SR03A-PC-Q1AB-06:SETI,0,0,4,200,0
SR03A-PC-Q1B-01:I,200,0,3,200,0
SR03A-PC-Q1B-01:SETI,0,0,4,200,0
SR03A-PC-Q1B-10:I,200,0,3,200,0
SR03A-PC-Q1B-10:SETI,0,0,4,200,0
SR03A-PC-Q2AB-04:I,200,0,3,200,0
SR03A-PC-Q2AB-04:SETI,0,0,4,200,0
SR03A-PC-Q2AB-07:I,200,0,3,200,0
SR03A-PC-Q2AB-07:SETI,0,0,4,200,0
SR03A-PC-Q2B-02:I,200,0,3,200,0
SR03A-PC-Q2B-02:SETI,0,0,4,200,0
SR03A-PC-Q2B-09:I,200,0,3,200,0
SR03A-PC-Q2B-09:SETI,0,0,4,200,0
SR03A-PC-Q3B-03:I,200,0,3,200,0
SR03A-PC-Q3B-03:SETI,0,0,4,200,0
SR03A-PC-Q3B-08:I,200,0,3,200,0
SR03A-PC-Q3B-08:SETI,0,0,4,200,0
SR03A-PC-S1A-04:I,110,0,3,110,0
SR03A-PC-S1A-04:SETI,0,0,4,110,0
SR03A-PC-S1B-01:I,100,0,3,100,0
SR03A-PC-S1B-01:SETI,0,0,4,100,0
SR03A-PC-S1B-07:I,100,0,3,100,0
SR03A-PC-S1B-07:SETI,0,0,4,100,0
SR03A-PC-S2A-03:I,100,0,3,100,0
SR03A-PC-S2A-03:SETI,0,0,4,100,0
SR03A-PC-S2A-05:I,100,0,3,100,0
SR03A-PC-S2A-05:SETI,0,0,4,100,0
SR03A-PC-S2B-02:I,100,0,3,100,0
SR03A-PC-S2B-02:SETI,0,0,4,100,0
SR03A-PC-S2B-06:I,100,0,3,100,0
SR03A-PC-S2B-06:SETI,0,0,4,100,0
SR03A-PC-SQUAD-01:I,5,-5,3,5,-5
SR03A-PC-SQUAD-01:SETI,0,0,4,5,-5
SR03A-PC-SQUAD-02:I,5,-5,3,5,-5
SR03A-PC-SQUAD-02:SETI,0,0,4,5,-5
SR03A-PC-SQUAD-03:I,5,-5,3,5,-5
SR03A-PC-SQUAD-03:SETI,0,0,4,5,-5
SR03A-PC-SQUAD-04:I,5,-5,3,5,-5
SR03A-PC-SQUAD-04:SETI,0,0,4,5,-5
SR03A-PC-VSTR-01:I,5,-5,3,5,-5
SR03A-PC-VSTR-01:SETI,0,0,4,5,-5
SR03A-PC-VSTR-02:I,5,-5,3,5,-5
SR03A-PC-VSTR-02:SETI,0,0,4,5,-5
SR03A-PC-VSTR-03:I,5,-5,3,5,-5
SR03A-PC-VSTR-03:SETI,0,0,4,5,-5
SR03A-PC-VSTR-04:I,5,-5,3,5,-5
SR03A-PC-VSTR-04:SETI,0,0,4,5,-5
